GaiaDR3_ID,cluster,subgroup,data_catalog,Prot_source,Prot,mem_prob_hdbscan,mem_prob_source,dr3_parallax_zpt_corrected,dr3_ruwe,G_0,BPRP_0,e_BPRP_0,dustmap,fiducial_age_Myr,cmd_exclude,dered_exclude,phot_exclude
2076581885506788480,NGC6819,NGC6819,Long2023,Long2023,21.298,0.327,0.327,0.4830988113057744,0.9628149,17.531309728339014,1.0332342443650364,0.040874976670093245,Bayestar,2310,0,0,0
2076582121721749760,NGC6819,NGC6819,Long2023,Long2023,19.532,0.782,0.782,0.450594818883015,0.96682775,16.956217728339016,0.9354788443650366,0.0775998868159337,Bayestar,2310,0,0,0
2076583534763920896,NGC6819,NGC6819,Long2023,Long2023,3.236,0.884,0.884,0.3927009286560877,0.8853489,10.605023118717074,1.611494039328456,0.048067172671633,Bayestar,2310,1,0,0
2080064554225921792,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,11.841067,0.832,0.832,0.9073482867631958,1.0557709,16.93328176828317,1.3292486884676153,0.020308618784813763,Edenhofer,1004,0,0,0
2080090667627204736,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,10.832163,0.64,0.64,0.8743251067338921,1.0363492,15.551558038610882,0.9432363766112726,0.01648142162997075,Edenhofer,1004,0,0,0
2080095615429775360,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,11.016123,0.838,0.838,0.9270287786452541,1.0275385,15.22698529341066,0.8639148705685714,0.014935903579704833,Edenhofer,1004,0,0,0
2080096886739921152,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,15.08,0.278,0.278,0.903023811415013,0.97026587,15.482220509342024,0.9123009360053939,0.01627773560116722,Edenhofer,1004,0,0,0
2080097260396182016,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,13.875667,0.313,0.313,0.752834517835861,0.9766307,17.82102906535996,1.6699925661516628,0.022798358396071604,Edenhofer,1004,0,0,0
2081878061221154176,NGC6866,NGC6866,Long2023,Long2023,6.031,0.648,0.648,0.7209096947300367,0.9875045,15.002925881282925,0.7369955006715441,0.04390274988818116,Bayestar,735,0,0,0
2081880088445931776,NGC6866,NGC6866,Long2023,Long2023,9.458,0.287,0.287,0.632784941729481,1.0099006,16.26442645943189,0.9526367691322803,0.4271999042598317,Bayestar,735,0,0,0
2081880913079644288,NGC6866,NGC6866,Long2023,Long2023,8.079,0.583,0.583,0.6947732905473578,0.9901182,15.408358006008624,0.801749599216175,0.041338824786441346,Bayestar,735,0,0,0
2081881737713175936,NGC6866,NGC6866,Long2023,Long2023,2.487,0.553,0.553,0.7243393390097007,1.071939,14.109262118717073,0.5842590393284559,0.06081043325809044,Bayestar,735,0,0,0
2081882562346888320,NGC6866,NGC6866,Long2023,Long2023,0.616,0.711,0.711,0.7152582737219685,1.0370445,13.045207369651914,0.39249956168091293,0.04703036270211987,Bayestar,735,0,0,0
2081882837224798976,NGC6866,NGC6866,Long2023,Long2023,1.252,0.373,0.373,0.7350409933517096,1.0584592,14.216052753537,0.6206291630047918,0.05210202500587518,Bayestar,735,0,0,0
2081884349053719296,NGC6866,NGC6866,Long2023,Long2023,9.361,0.951,0.951,0.7277243064893271,1.0046755,16.261638453777838,1.0203898169965104,0.017087147165595715,Edenhofer,735,0,0,0
2081884933168891008,NGC6866,NGC6866,Long2023,Long2023,11.582,1,1,0.7040860656390795,0.9730235,12.583161694112182,0.24478961738698474,0.06891133959552743,Bayestar,735,0,0,0
2082070544473419648,NGC6866,NGC6866,Long2023,Long2023,3.356,0.937,0.937,0.7167798250581506,0.9824889,14.668873965773166,0.7034634230219483,0.04426511165120084,Bayestar,735,0,0,0
2082071128589001472,NGC6866,NGC6866,Long2023,Long2023,8.866,0.642,0.642,0.6852356672658394,0.9636396,15.997805346785308,0.8964587457824231,0.08276980096202134,Bayestar,735,0,0,0
2082071918862946560,NGC6866,NGC6866,Long2023,Long2023,7.613,0.785,0.785,0.7180301052150448,0.90066314,15.138063694112182,0.7173571673869847,0.044888175267547986,Bayestar,735,0,0,0
2082072709126462848,NGC6866,NGC6866,Long2023,Long2023,9.031,0.635,0.635,0.7463097677598136,0.9561771,16.061114209108972,0.9985484621825167,0.016416880202763134,Edenhofer,735,0,0,0
2082072709136974976,NGC6866,NGC6866,Long2023,Long2023,10.742,0.873,0.873,0.7239830401161056,0.9564374,12.819790525131703,0.3111232426861763,0.033671695107212546,Bayestar,735,0,0,0
2082074044861182336,NGC6866,NGC6866,Long2023,Long2023,9.645,1,1,0.7345956656277651,1.0323052,16.64453073067903,1.1428023474910516,0.017588721369810018,Edenhofer,735,0,0,0
2128018379481370880,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,9.598987,0.925,0.925,0.9313794593172644,0.9720574,15.475764833327716,0.923636600208297,0.0170286330475207,Edenhofer,1004,0,0,0
2128066998511354880,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,13.231719,0.585,0.585,0.9185251962463836,1.0252361,17.378941049980458,1.5150924928288083,0.026065505053281323,Edenhofer,1004,0,0,0
2128073625637956864,NGC6811,NGC6811,Long2023,Long2023,0.485,0.563,0.563,0.8874279931454719,1.085791,12.284279467813958,0.34913664421693846,0.015692652378608063,Edenhofer,1004,0,0,0
2128098433369035392,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,13.01487,0.662,0.662,0.9629194241591812,0.9680666,17.263873365260192,1.4524004472147776,0.025481656679973347,Edenhofer,1004,0,0,0
2128098884347245184,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,12.691963,0.746,0.746,0.9216669074874125,0.9793173,17.129386692081717,1.4203784508615318,0.02138200608821675,Edenhofer,1004,0,0,0
2128099670319729408,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,9.602807,1,1,0.9198983662087445,0.9265909,15.05147304196579,0.8142113988997105,0.01602574997260896,Edenhofer,1004,0,0,0
2128099910837923584,NGC6811,NGC6811,GodoyRivera2021,Santos2019,16.282133,NULL,0.574,1.03618071623664,1.0058132,17.33937422610577,1.6015930641085987,0.020732490103520143,Edenhofer,1004,0,0,0
2128102526479557248,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,6.211301,0.701,0.701,0.9292242318260093,1.0692062,14.41343014963852,0.7283758842848023,0.01571461474137935,Edenhofer,1004,0,0,0
2128103179314615296,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,3.862985,0.884,0.884,0.9010378927263872,0.9368947,14.03726632105413,0.668877406369272,0.015198098123516315,Edenhofer,1004,0,0,0
